Var1,Var2
0.001,-0.0134523630093246
0.002,-0.00145954612213226
0.003,-0.00145954612213226
0.004,-0.00145954612213226
0.005,-0.00145954612213226
0.006,-0.00145954612213226
0.007,0.01053327076506
0.008,0.01053327076506
0.009,0.01053327076506
0.01,0.0225260876522523
0.011,0.01053327076506
0.012,0.01053327076506
0.013,0.01053327076506
0.014,0.01053327076506
0.015,0.0225260876522523
0.016,0.01053327076506
0.017,0.0225260876522523
0.018,0.0225260876522523
0.019,0.0225260876522523
0.02,0.0225260876522523
0.021,0.0345189045394447
0.022,0.0345189045394447
0.023,0.046511721426637
0.024,0.046511721426637
0.025,0.046511721426637
0.026,0.0585045383138293
0.027,0.046511721426637
0.028,0.0585045383138293
0.029,0.0585045383138293
0.03,0.046511721426637
0.031,0.046511721426637
0.032,0.046511721426637
0.033,0.0585045383138293
0.034,0.0585045383138293
0.035,0.046511721426637
0.036,0.0585045383138293
0.037,0.0585045383138293
0.038,0.0585045383138293
0.039,0.046511721426637
0.04,0.046511721426637
0.041,0.046511721426637
0.042,0.046511721426637
0.043,0.046511721426637
0.044,0.046511721426637
0.045,0.046511721426637
0.046,0.0345189045394447
0.047,0.0345189045394447
0.048,0.0345189045394447
0.049,0.0345189045394447
0.05,0.046511721426637
0.051,0.0585045383138293
0.052,0.0824901720882139
0.053,0.0944829889754062
0.054,0.0944829889754062
0.055,0.106475805862598
0.056,0.118468622749791
0.057,0.142454256524175
0.058,0.154447073411368
0.059,0.16643989029856
0.06,0.178432707185752
0.061,0.202418340960137
0.062,0.214411157847329
0.063,0.226403974734522
0.064,0.250389608508906
0.065,0.274375242283291
0.066,0.286368059170483
0.067,0.286368059170483
0.068,0.298360876057675
0.069,0.298360876057675
0.07,0.298360876057675
0.071,0.310353692944868
0.072,0.310353692944868
0.073,0.310353692944868
0.074,0.298360876057675
0.075,0.286368059170483
0.076,0.286368059170483
0.077,0.274375242283291
0.078,0.274375242283291
0.079,0.262382425396098
0.08,0.262382425396098
0.081,0.250389608508906
0.082,0.250389608508906
0.083,0.238396791621714
0.084,0.238396791621714
0.085,0.226403974734522
0.086,0.214411157847329
0.087,0.226403974734522
0.088,0.214411157847329
0.089,0.214411157847329
0.09,0.214411157847329
0.091,0.214411157847329
0.092,0.214411157847329
0.093,0.214411157847329
0.094,0.214411157847329
0.095,0.202418340960137
0.096,0.202418340960137
0.097,0.202418340960137
0.098,0.190425524072945
0.099,0.178432707185752
0.1,0.16643989029856
0.101,0.16643989029856
0.102,0.154447073411368
0.103,0.142454256524175
0.104,0.118468622749791
0.105,0.106475805862598
0.106,0.0824901720882139
0.107,0.0585045383138293
0.108,0.0345189045394447
0.109,0.0225260876522523
0.11,0.0225260876522523
0.111,-0.00145954612213226
0.112,-0.0134523630093246
0.113,-0.0374379967837092
0.114,-0.0614236305580938
0.115,-0.0854092643324784
0.116,-0.0974020812196707
0.117,-0.0974020812196707
0.118,-0.109394898106863
0.119,-0.0974020812196707
0.12,-0.0974020812196707
0.121,-0.0854092643324784
0.122,-0.0854092643324784
0.123,-0.0974020812196707
0.124,-0.109394898106863
0.125,-0.121387714994055
0.126,-0.121387714994055
0.127,-0.109394898106863
0.128,-0.109394898106863
0.129,-0.121387714994055
0.13,-0.133380531881248
0.131,-0.133380531881248
0.132,-0.133380531881248
0.133,-0.14537334876844
0.134,-0.157366165655632
0.135,-0.169358982542825
0.136,-0.181351799430017
0.137,-0.181351799430017
0.138,-0.181351799430017
0.139,-0.181351799430017
0.14,-0.181351799430017
0.141,-0.181351799430017
0.142,-0.181351799430017
0.143,-0.181351799430017
0.144,-0.181351799430017
0.145,-0.181351799430017
0.146,-0.181351799430017
0.147,-0.181351799430017
0.148,-0.193344616317209
0.149,-0.181351799430017
0.15,-0.193344616317209
0.151,-0.181351799430017
0.152,-0.181351799430017
0.153,-0.181351799430017
0.154,-0.181351799430017
0.155,-0.193344616317209
0.156,-0.205337433204401
0.157,-0.217330250091594
0.158,-0.205337433204401
0.159,-0.193344616317209
0.16,-0.181351799430017
0.161,-0.181351799430017
0.162,-0.193344616317209
0.163,-0.205337433204401
0.164,-0.241315883865978
0.165,-0.253308700753171
0.166,-0.265301517640363
0.167,-0.265301517640363
0.168,-0.253308700753171
0.169,-0.241315883865978
0.17,-0.229323066978786
0.171,-0.205337433204401
0.172,-0.14537334876844
0.173,-0.0374379967837092
0.174,0.106475805862598
0.175,0.298360876057675
0.176,0.538217213801522
0.177,0.814052002206945
0.178,1.11387242438675
0.179,1.43767848034094
0.18,1.76148453629514
0.181,2.09728340913652
0.182,2.42108946509071
0.183,2.72090988727052
0.184,3.00873749256314
0.185,3.27257946408137
0.186,3.51243580182521
0.187,3.72830650579467
0.188,3.88421312532817
0.189,3.98015566042571
0.19,3.93218439287694
0.191,3.70432087202029
0.192,3.26058664719418
0.193,2.64895298594737
0.194,1.90539833894144
0.195,1.11387242438675
0.196,0.334339326719252
0.197,-0.421208137173863
0.198,-1.1407771504054
0.199,-1.78838926231379
0.2,-2.32806602223744
0.201,-2.75980743017636
0.202,-3.05962785235617
0.203,-3.23952010566406
0.204,-3.31147700698721
0.205,-3.28749137321282
0.206,-3.17955602122809
0.207,-2.99966376792021
0.208,-2.79578588083794
0.209,-2.56792235998129
0.21,-2.31607320535025
0.211,-2.0762168676064
0.212,-1.83636052986256
0.213,-1.62048982589309
0.214,-1.41661193881082
0.215,-1.24871250239013
0.216,-1.10479869974382
0.217,-0.960884897097517
0.218,-0.852949545112786
0.219,-0.745014193128055
0.22,-0.649071658030517
0.221,-0.565121939820171
0.222,-0.493165038497017
